BOOK,Stranger in a Strangeland,scifi,1961,0,438,42
BOOK,To Kill a Mockingbird,classic,1960,5,324,31
BOOK,1984,dystopian,1949,4,328,24
BOOK,The Great Gatsby,classic,1925,5,180,9
BOOK,Harry Potter and the Sorcerer's Stone,fantasy,1997,5,309,17
BOOK,Pride and Prejudice,romance,1813,4,279,61
BOOK,The Catcher in the Rye,classic,1951,3,214,26
BOOK,The Hobbit,fantasy,1937,5,310,19
BOOK,War and Peace,classic,1869,4,1225,365
BOOK,The Lord of the Rings,fantasy,1954,5,1137,22
BOOK,The Road,dystopian,2006,3,287,13
AUDIO_BOOK,Stranger in a Strangeland,scifi,1961,0,42,US-29922929,840000
AUDIO_BOOK,To Kill a Mockingbird,classic,1960,5,31,US-19393948,720000
AUDIO_BOOK,1984,dystopian,1949,4,24,US-83838382,700000
AUDIO_BOOK,The Great Gatsby,classic,1925,5,9,US-47474747,600000
AUDIO_BOOK,Harry Potter and the Sorcerer's Stone,fantasy,1997,5,17,US-25252525,840000
AUDIO_BOOK,Pride and Prejudice,romance,1813,4,61,US-61616161,900000
AUDIO_BOOK,The Catcher in the Rye,classic,1951,3,26,US-13131313,630000
AUDIO_BOOK,The Hobbit,fantasy,1937,5,19,US-78787878,780000
AUDIO_BOOK,War and Peace,classic,1869,4,365,US-67676767,1800000
AUDIO_BOOK,The Lord of the Rings,fantasy,1954,5,22,US-41414141,1200000
AUDIO_BOOK,The Road,dystopian,2006,3,13,US-57575757,540000
MUSIC,Uptown Funk,funk,2014,0,GB-9191182,270
MUSIC,Bohemian Rhapsody,rock,1975,5,GB-22334455,354
MUSIC,Imagine,rock,1971,5,US-11223344,183
MUSIC,Hotel California,rock,1976,4,US-44556677,391
MUSIC,Shape of You,pop,2017,4,GB-66778899,240
MUSIC,Blinding Lights,pop,2019,5,US-88990011,200
MUSIC,Stairway to Heaven,rock,1971,5,US-99887766,482
MUSIC,Someone Like You,pop,2011,4,GB-55554444,285
MUSIC,Thriller,pop,1982,5,US-11112222,358
MUSIC,Hey Jude,rock,1968,4,GB-33332222,431
MUSIC,Rolling in the Deep,pop,2010,5,GB-44443333,228